uid,name,longitude,latitude,free_bikes,empty_slots
7563,St Clair Ave W / Castleton Ave,-79.485426,43.668496,15,4
7567,Weston Lions Park,-79.519472,43.698841,5,22
7561,Annette St / Jane St,-79.487246,43.658574,6,9
7568,Jameson Ave / Queen St W,-79.43703,43.63985,10,17
7570,Carlaw Ave / Dundas St E,-79.341509,43.665076,7,10
7569,Toronto Inukshuk Park,-79.40978179999999,43.6323994,29,16
7572,Cosburn Ave / Durant Ave,-79.3301658,43.6935477,2,13
7559,Swansea Community Centre,-79.4770327,43.6438036,11,4
7541,Bellwoods Ave / Treford Pl - SMART,-79.413528,43.65246,4,16
7575,Bayview Ave / Lawren Harris Square,-79.35397680000001,43.6548521,8,6
7557,The Queensway / High St,-79.482407,43.630874,19,3
7529,Symington Ave / Davenport Rd,-79.45328549999999,43.6704403,11,4
7576,Front St E / Bayview Avenue,-79.354068,43.6535,8,14
7577,Oak St / Sumach St,-79.361515,43.6617908,18,9
7551,The Esplanade / Hahn Pl,-79.364184,43.649709,4,14
7549,439 Sherbourne St,-79.374161,43.666051,2,43
7579,Glebe Rd W / Yonge St,-79.397345,43.7005976,8,11
7580,Hillsdale Ave W / Yonge St,-79.3979073,43.7029672,8,7
7540,Alvin Ave / St Clair Ave E,-79.39264,43.68871,4,15
7583,Eglinton Ave W / Scarlett Rd,-79.5108942,43.6834703,4,18
7584,The Pond Rd / Sentinel Rd,-79.5025943,43.7696262,11,16
7585,Sentinel Rd / Finch Hydro Corridor,-79.5012809,43.7641485,10,17
7586,Finch West Subway Station,-79.491281,43.76521,12,11
7587,Dufferin St / Finch Hydro Recreational Trail,-79.4675395,43.7724019,8,11
7588,G Ross Lord Park,-79.467963,43.7781116,9,22
7591,Elwood Blvd / Avenue Rd,-79.40966,43.707049,14,9
7593,Roehampton St / Bayview Ave,-79.378615,43.711751,17,13
7598,Teddington Park Ave,-79.40401,43.732975,0,14
